Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,166969.76700000002,173327.20300000004,187130.526,185030.66000000003,202321.21499999997,195328.02400000003,191882.72100000002,216464.516,235012.382,258259.206,270942.13500000007,271349.68100000004,271139.53900000005,282353.75200000004,281786.895,273700.511,263545.50399999996,257405.49200000006,269972.919,278611.42799999996,266383.563
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,1111.012,1087.289,942.378,1000.801,1170.899,1326.835,1781.271,1783.775,1842.538,1704.442,6648.776,5661.547,6112.092,6345.599,6390.066,6072.333,5769.976,5265.706,5588.816,6153.519,6841.092
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,1381.275,1345.413,1277.993,1196.267,1297.229,1281.807,991.091,1139.572,1178.856,1152.683,1595.405,1712.761,2110.794,2232.455,2163.852,1825.95,1460.015,1568.884,1573.288,1452.138,1816.187
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,2286.052,2870.645,3010.529,3143.954,3235.134,3260.182,3332.88,2706.172,2967.3,3360.913,3876.451,3868.596,5015.543,6001.747,5952.089,5811.852,5375.707,5289.987,5264.861,5448.216,5238.063
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,690.767,696.106,744.201,746.582,685.545,527.438,508.397,513.621,484.204,491.741,468.756,467.291,515.515,498.042,417.692,397.571,375.411,407.414,458.432,416.593,467.395
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,20905.044,19070.976,22929.792,23380.399,23894.537,25065.406,23617.139,29544.528,31609.836,31516.064,30133.575,30865.936,27960.352,28878.918,29877.956,26696.376,27119.465,20775.153,22471.385,22478.346,13140.571
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,3843.219,3827.359,3749.185,3688.678,4330.358,4208.654,3905.275,4498.362,3986.019,4630.549,4486.618,4350.362,3821.885,3547.381,4092.824,3990.997,3735.293,4307.697,4592.473,4491.788,4756.876
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,935.38,921.954,947.368,1070.342,1070.826,1029.228,865.738,847.668,728.165,918.048,1265.773,1520.12,1714.144,1200.105,1038.399,934.409,455.75,346.183,352.184,498.138,548.108
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,12012.469,10387.372,13813.02,16536.301,16272.297,16439.203,15793.727,13389.495,12264.051,12852.995,13925.891,14222.542,10950.78,12504.972,11445.395,14321.679,14369.143,13978.685,14309.86,14161.91,16365.428
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,219.279,209.31,201.709,230.049,219.036,200.21,193.254,160.978,185.184,221.143,193.751,199.549,187.809,208.498,197.534,179.902,172.448,166.158,192.414,239.529,237.256
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,10287.095,10710.841,12380.459,12290.07,14741.098,12605.528,11393.738,14693.43,17084.975,20894.576,22557.863,23308.837,23172.695,18863.069,19060.825,21970.16,19332.808,20736.125,22906.438,24188.341,22100.046
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,4736.734,4692.813,6222.054,6107.063,5635.458,6234.963,3968.781,3547.587,2933.562,3642.668,3294.854,3155.949,3606.171,3266.769,3643.437,3488.236,2697.383,2177.75,2286.711,2023.487,1948.099
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,2531.988,2600.121,2720.85,2689.007,4100.292,6055.73,5137.708,5176.981,4536.698,5795.835,5353.465,5263.069,5379.154,6900.114,6338.715,6986.04,7628.056,6413.881,7926.845,8147.227,9629.743
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,3039.709,3245.573,3191.009,2802.41,3662.895,5004.458,4426.548,4597.045,3396.43,4968.453,4116.624,5243.507,4994.404,5259.071,5124.277,4809.217,4557.642,4728.262,4717.957,5499.057,5327.852
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,3508.826,3169.513,3432.646,3179.608,4077.717,4628.086,5258.442,7996.259,9907.924,10699.826,14605.369,13328.427,9191.804,11081.118,12168.435,8001.747,7053.176,10339.979,10127.277,10504.72,4526.642
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|México<C1>,4095.385,3930.254,4027.835,4070.157,4241.874,4097.495,3983.099,4207.457,3985.801,4314.198,5350.982,5455.486,4843.739,5666.36,5562.692,5607.808,4972.811,5055.439,5428.095,4853.067,4692.356
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,10767.023,12135.419,9884.991,10583.368,11784.795,11923.557,10459.743,12195.138,11439.32,13091.648,10624.096,8630.065,7133.24,6205.055,5901.884,5633.913,5350.583,5957.118,6023.01,5737.421,5553.613
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Morelos<C1>,675.989,580.244,707.681,441.686,402.692,361.81,390.45,391.232,331.893,270.43,275.679,318.536,778.029,613.688,596.768,591.311,298.014,324.847,345.941,403.336,381.479
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nayarit<C1>,1738.085,2795.034,3053.343,2549.405,2641.871,2589.996,2321.804,1964.788,2035.27,2283.946,2272.133,2234.85,2027.879,2075.517,1985.537,1621.055,1606.641,1429.668,1962.13,1933.598,2069.961
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nuevo León<C1>,4122.038,4578.995,4770.982,4872.9,5613.346,4759.913,4055.809,5037.164,4919.852,4916.556,6684.707,6558.125,7809.505,6959.372,6481.766,7713.338,7183.087,7246.383,7780.328,8711.883,10169.539
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Oaxaca<C1>,513.868,592.078,886.446,1236.833,1234.156,1311.508,1167.602,1217.982,1377.238,1743.032,2216.061,2285.027,2607.694,2515.784,2661.682,2647.346,2455.264,2064.679,2356.655,2598.233,2920.352
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Puebla<C1>,2787.519,2652.231,3124.474,3466.268,3209.397,2548.453,2088.17,2213.629,2936.045,3059.011,2730.855,2892.641,2921.202,3004.91,2927.455,2704.468,3095.605,2879.034,2846.235,3020.509,2921.281
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Querétaro<C1>,2957.618,3359.706,3288.636,2753.213,2961.396,2769.085,2793.887,2642.38,2893.967,2929.977,3350.871,3402.516,3222.346,3700.892,3801.527,3940.128,3750.324,3763.073,3440.555,3566.48,3837.712
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Quintana Roo<C1>,3244.423,4521.305,3520.567,4674.903,3125.757,3467.623,3607.482,2750.319,2010.982,1313.625,2722.924,4030.238,4017.844,3685.93,3602.734,4057.41,4167.415,4802.722,4096.616,2105.971,60.856
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,12476.282,13052.984,13148.821,13390.545,13724.805,16728.102,16072.89,15047.891,14238.946,15510.752,17354.655,13762.597,11434.831,12922.382,12637.881,12720.203,12617.89,12370.786,12962.89,13095.998,13157.704
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Sinaloa<C1>,3230.526,3568.138,2756.575,2276.889,3163.044,3576.007,3562.051,3759.771,3612.884,3225.991,3196.584,3063.806,3732.269,4199.621,4140.939,4243.07,3355.477,2868.083,3050.704,3116.611,3115.214
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Sonora<C1>,35269.368,39584.567,43196.281,37934.454,42364.661,34762.491,32401.736,35727.236,51902.345,59638.699,64734.609,62637.251,76020.978,88980.034,87517.259,84590.143,86409.723,81313.889,82985.025,83495.523,79915.457
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tabasco<C1>,2481.132,2129.904,2481.949,2574.045,2409.022,2501.335,2713.752,2675.857,2950.708,3171.069,2873.377,3100.517,3282.334,2992.255,2408.162,2132.292,1831.278,2469.238,5281.914,6579.913,5264.933
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tamaulipas<C1>,762.16,641.597,721.707,624.869,729.897,715.406,617.198,585.637,538.962,526.859,491.646,497.396,581.692,563.926,563.715,609.4,581.758,505.339,437.099,450.175,512.148
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tlaxcala<C1>,356.125,418.423,392.075,405.635,462.367,436.341,403.47,431.679,408.826,600.886,458.53,418.148,218.886,298.848,387.575,417.329,453.859,439.931,457.424,663.128,596.584
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,5571.814,5564.776,6010.741,5959.086,10108.614,5549.766,5180.611,5948.368,5637.271,6715.308,6556.568,6571.015,4308.828,4625.916,5036.691,4828.872,4855.183,4668.657,4713.623,5994.225,5706.268
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Yucatán<C1>,2539.163,2307.328,2382.652,2596.147,2797.411,2526.719,2465.829,2821.744,2478.661,2824.107,2965.366,3070.524,3326.831,3247.928,3495.185,3430.827,3362.085,4325.771,4116.072,4273.097,4460.138
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Zacatecas<C1>,5892.4,6078.935,7211.577,6558.726,6952.789,6834.689,16423.149,26250.771,28207.669,29273.176,23559.321,29252.45,28138.27,23307.476,24165.947,20725.129,17096.234,18418.971,18919.662,22309.251,28104.61
