Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,1102514.5110000002,1118276.466,1111464.833,1103153.8159999996,1070840.852,1019474.483,977530.4169999999,975269.864,963952.523,962456.909,949818.3610000001,929432.7170000001,873746.5370000001,820233.4010000001,732050.476,674626.071,633840.4260000001,636151.2010000001,646499.6780000001,675495.7420000001,689024.188
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,861838.712,863428.056,837937.252,799663.227,745185.903,682852.234,611279.016,581443.8,564306.088,540981.127,540875.411,534342.355,534514.087,505880.478,450761.012,424556.978,402996.61,380754.278,360630.613,335836.505,305941.078
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,103.851,96.848,90.665,100.852,505.401,991.499,2194.802,2116.38,1592.767,1156.333,1042.927,721.147,398.942,327.061,316.602,276.873,177.856,117.448,90.889,75.67,75.011
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,19194.751,15987.517,14029.817,13323.735,12655.779,13305.82,15113.287,17530.96,17415.199,17424.049,17881.483,16667.378,13200.13,9841.846,6593.81,5067.261,4696.863,6645.124,8327.681,9806.61,8208.716
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
