Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,84027.59999999998,86594.91,89637.535,94248.68800000001,96388.93000000001,98334.38100000001,96069.25800000002,101425.96600000001,102139.78900000002,104620.56600000002,104182.098,109341.03800000002,114074.647,118609.31599999999,122937.24799999998,126255.77700000002,123965.686,119900.65299999999,129573.66200000003,134380.27199999997,128802.74799999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,392.13599999999997,439.964,543.982,627.504,582.3,637.155,782.4399999999999,871.658,865.764,804.285,903.215,844.638,1284.5620000000001,1457.187,1342.9589999999998,1646.134,1611.935,1652.89,1646.62,1695.502,1536.681
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,4308.209,5049.794,5334.0380000000005,5970.3859999999995,5854.942,5400.661999999999,5741.096,6646.9220000000005,6715.92,7763.599,8267.280999999999,8777.28,10319.892,10494.902,11153.643,10786.055,11283.914,11441.794,12396.962,12656.76,11629.721
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,49.173,48.69,50.303000000000004,58.94,61.376000000000005,64.28999999999999,60.286,61.535000000000004,54.263,50.017,44.494,44.465,43.429,44.388999999999996,44.675,50.156,49.611,48.746,50.184,40.032,42.077
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,22.632,23.137,24.186,27.887,26.746,29.787,27.731,28.612,27.049,26.674,26.149,28.143,27.356,28.49,26.895,22.902,25.285,26.318,25.192,12.257,11.526
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,1009.242,1177.836,1333.597,1363.938,1466.297,1555.7340000000002,1563.9569999999999,1699.9850000000001,1730.7179999999998,1733.752,1607.0529999999999,1749.9920000000002,1956.317,1986.9389999999999,1870.683,4080.585,3866.149,3980.887,4069.242,3809.448,4295.345
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,31.684,32.78,33.558,36.16,37.262,38.1,37.615,44.98,37.497,35.034,32.588,30.451,34.701,25.916,27.503999999999998,30.386,31.515,32.892,29.612,28.431,29.698
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,149.962,147.582,148.308,171.34300000000002,175.454,186.715,171.10399999999998,171.224,212.161,207.935,447.06000000000006,390.783,394.991,423.966,350.54499999999996,329.249,304.747,372.279,272.596,284.145,324.907
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,2854.102,3051.603,3330.441,3498.664,3529.4429999999998,3395.5969999999998,3295.042,3489.52,3217.559,3276.643,3173.49,3551.725,3569.133,3744.8019999999997,4106.741,4293.2210000000005,4046.991,3597.759,4211.019,4264.865,3928.205
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,10476.345000000001,9942.936,10741.894,10998.344000000001,10954.735,11463.088000000002,11107.13,11529.256,11254.991,11052.121,10062.172,9965.599,10315.128,10768.805,11101.123,11586.923,10311.628,9513.867,10728.399,11353.489,11638.392
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,1407.4889999999998,1622.353,1696.991,1841.137,1941.1390000000001,2015.6870000000001,1752.264,1930.608,1888.932,2182.065,2043.162,2078.919,2027.2269999999999,2088.403,2160.8059999999996,1972.6709999999998,1978.628,1777.95,1679.089,1590.105,1682.272
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,3456.013,3670.413,3965.868,4503.722,4704.216,4893.326999999999,4819.635,5236.494,5576.137,5858.079000000001,5979.022,6471.705,6709.879999999999,6573.316000000001,6896.796,6911.45,6840.749,6884.342,7403.803,7598.029,7209.019
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,63.346000000000004,64.277,64.252,67.895,69.044,73.539,71.303,75.295,69.132,70.45100000000001,66.676,72.01,69.19800000000001,66.297,60.281,64.759,60.76,56.904,53.156,47.228,44.97
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,1383.023,1626.897,1664.644,1759.356,1778.015,2084.4970000000003,2052.964,2126.381,2251.098,2498.095,3194.518,3111.998,3031.6620000000003,3049.074,2908.2129999999997,2692.495,2406.94,2237.453,2206.695,2335.097,2302.227
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,4231.049,4171.754,4358.053,4807.845,5038.902,5303.571,5633.219,6577.183,7852.738,7603.88,5562.46,5806.571,6436.261,7245.879,7624.329,7429.715,7195.261,7101.813,7821.777,8055.335,7387.15
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|México<C1>,17766.569,17793.839,17979.39,18408.764,19049.825,20613.142,20165.753,20532.917,19808.898,19920.721,19607.913,19907.609,20588.959,21636.053,22402.413999999997,22244.722,22029.121,21057.553,23185.753,23885.976,21430.914
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,3020.246,2954.572,2645.7270000000003,2654.161,2618.424,2696.092,2668.1639999999998,2431.152,2365.026,1943.6870000000001,1831.843,1964.0990000000002,2064.674,2152.825,2202.438,2105.906,2142.512,2035.178,2219.269,2317.177,2409.257
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Morelos<C1>,411.87800000000004,414.83000000000004,420.621,422.98800000000006,440.108,468.755,452.71200000000005,467.09700000000004,458.795,458.046,434.824,462.067,464.911,450.988,440.519,459.679,402.414,408.917,438.903,425.909,473.989
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nayarit<C1>,76.70200000000001,77.901,78.555,86.60400000000001,86.955,89.649,96.503,104.501,98.714,93.834,85.789,81.833,72.083,68.082,67.386,61.81999999999999,59.837,58.474,54.357,54.613,52.284
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nuevo León<C1>,10686.578000000001,10934.563,11313.833999999999,11396.198,11158.196,10816.261999999999,10553.064,11177.708,10970.66,11617.274000000001,12504.933,13425.169,13977.513,15133.14,15670.974,16316.364,16483.741,15819.867,17056.549,18782.317,17446.026
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Oaxaca<C1>,585.995,655.007,663.384,715.147,712.558,774.358,688.009,483.51200000000006,570.966,619.951,681.648,891.912,819.683,984.6560000000001,975.348,978.065,1023.938,1019.994,1143.55,1160.728,1168.202
