Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,1462033.7349999999,1517752.0129999998,1561713.719,1670044.4239999999,1707968.6969999997,1725036.3739999998,1561741.373,1723009.826,1845657.1039999998,1938325.5069999998,1925332.3329999996,2003205.1379999996,2084223.7130000002,2143321.8570000003,2185007.241,2268261.446,2225792.3880000007,2046973.643,2218040.929,2345477.9969999995,2439225.511999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,13971.233,14454.896,15005.701,15650.279,16590.992,16423.734,13939.814,15720.621,17379.786,18186.432,19119.645,20962.757,23990.501,26709.762,27211.53,29822.924,29547.136,27429.022,29322.691,31109.458,32639.538
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,50773.432,52982.208,54850.985,58866.556,60217.426,56888.738,49546.623,52695.986,55862.817,56602.16,56319.728,58133.316,60545.764,65747.013,68335.594,71800.337,70960.209,66331.744,70784.322,74242.782,76450.649
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,8811.336,8728.2,8996.805,10052.357,11077.623,10550.312,9224.947,9998.605,11202.614,11597.407,11403.691,12697.195,13277.785,13580.286,14060.807,15482.39,14952.258,13479.316,14714.354,15167.807,15866.859
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,6067.471,6639.776,6925.837,7357.227,7250.52,7516.897,7291.111,7648.378,8106.956,8275.181,8663.462,8388.934,9256.05,8880.074,9433.431,10293.999,10005.225,9203.688,9890.312,10072.514,10607.419
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,37219.359,39020.869,41026.568,42649.738,43075.291,44251.212,38061.59,41130.592,44004.761,45847.575,45803.757,48936.725,50249.709,50271.917,49948.744,53374.486,52449.523,48749.863,52344.788,54970.172,57941.844
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,14188.508,13907.474,14533.682,16105.033,16433.33,16261.917,15437.445,16978.287,18205.003,18563.902,17612.835,17791.882,18903.605,18575.409,20464.951,23334.559,22359.462,19810.711,22014.852,22402.78,23067.379
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,20207.658,21891.152,23285.727,25367.292,26210.147,26727.896,27642.572,28772.021,30591.817,33199.537,32060.842,34700.404,36465.71,35534.466,35320.419,36679.771,36085.807,33680.714,35578.303,37371.902,38551.768
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,53850.899,53351.509,55857.631,58965.415,61003.164,62067.937,55765.024,60915.907,64624.089,66955.28,68516.795,72021.553,76499.233,82732.517,81571.158,82960.112,82403.586,77037.685,83346.246,88427.902,91397.732
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,310533.703,324233.949,325342.9,354211.923,355279.921,363315.674,312094.584,371047.929,385949.995,403969.168,399459.655,409039.142,411795.979,399544.096,404465.585,391252.469,370633.906,323944.068,363884.287,386221.322,405086.8
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,19845.751,21003.747,21924.301,22522.577,23200.728,23568.899,21117.94,23713.119,25806.092,27187.385,24945.066,24733.813,25699.788,27451.371,26158.37,26851.076,25987.391,23453.585,25676.66,27133.525,28304.281
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,69701.117,71154.823,70964.517,75651.341,77944.867,78153.353,73987.541,79617.646,87979.929,95822.222,91434.693,91362.178,93617.821,93806.536,104374.366,122568.461,120804.565,110287.088,120038.247,128639.94,132389.952
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,20582.705,21270.181,21831.709,21881.781,21539.885,20713.517,19129.817,21424.979,21007.517,22580.144,21484.791,20444.192,21410.878,21234.493,21814.155,24819.427,24286.883,22704.26,23836.733,25223.275,24279.1
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,25099.419,25414.012,25352.598,26919.828,27456.698,28690.986,27139.699,27804.785,28143.027,28771.625,28136.982,30538.803,30887.844,33612.439,35543.256,38075.531,36554.484,32661.208,35876.781,37763.277,39245.535
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,133524.936,138021.732,141468.53,153029.95,159466.798,161837.247,147637.481,163788.608,176766.787,184713.596,187169.039,200905.3,210853.643,224237.263,224776.642,243326.725,244473.87,228941.03,245583.05,261782.227,272151.501
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|México<C1>,88043.596,90396.246,94641.524,100324.919,103517.202,104900.978,95254.196,105515.413,116585.913,126459.739,133043.392,142009.108,161251.724,178741.456,186977.518,202173.737,201037.443,187359.917,198827.842,213838.322,226338.297
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,37246.063,37651.5,39442.206,41010.885,42564.578,42883.14,42011.441,43500.813,46612.417,47202.47,44860.847,48763.173,49457.867,52123.316,58198.179,65756.295,65867.06,62264.401,66143.17,69348.243,71194.478
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Morelos<C1>,17372.371,18300.476,19268,19126.122,18723.876,18285.914,16126.835,16826.329,18408.117,19241.841,19569.988,19491.259,20359.842,21905.125,22054.99,24101.573,23829.885,22581.973,23640.201,24697.434,25519.168
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nayarit<C1>,6435.338,6645.564,6971.966,7504.005,7832.586,8170.065,7792.178,8249.711,8581.885,8578.4,8206.399,8697.439,9116.659,9616.686,10249.667,10891.85,10900.516,10493.111,10860.506,11399.628,11930.983
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nuevo León<C1>,106297.508,113614.154,117285.43,127357.675,133262.159,135645.972,115960.432,130362.985,143260.526,151318.073,151816.114,162919.662,165181.438,166962.307,168878.672,173152.001,169050.953,155964.24,170397.688,182604.189,192383.308
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Oaxaca<C1>,34660.062,36604.399,38088.356,39268.866,39015.073,38484.876,35764.678,35358.517,35499.257,38436.471,36135.113,34054.457,34698.939,34481.404,34968.846,35528.965,34401.661,31649.64,33884.665,35610.6,36292.022
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Puebla<C1>,43506.315,43882.821,44259.73,47352.459,48815.238,49449.248,45701.518,49915.776,54762.93,57600.048,57367.084,60309.47,61410.678,61940.217,63978.837,68272.261,68093.993,64491.979,68264.385,72691.227,74853.767
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Querétaro<C1>,26995.651,29386.336,31665.452,34354.025,36927.514,37718.594,34632.391,42072.139,48456.171,50776.42,49218.493,52344.749,57215.418,57172.833,56376.196,58094.243,58001.996,53351.671,58460.622,62715.798,67234.151
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Quintana Roo<C1>,12237.406,13399.832,14301.201,15677.881,16242.588,16857.758,14013.99,14579.785,15884.848,17091.046,16784.424,17304.129,17313.441,18530.161,19939.124,22929.764,22451.488,20859.252,22003.702,23117.113,24326.801
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,25577.503,26538.312,27713.934,29908.939,31210.798,32086.595,28870.842,33540.213,34803.311,35559.693,38147.606,38148.819,37520.062,37357.477,38964.167,42521.524,41799.611,39161.73,41658.08,43624.062,45197.538
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Sinaloa<C1>,41573.305,42873.859,42993.313,44976.912,46193.383,48136.076,51154.869,49477.273,55643.43,60728.378,62135.054,63878.638,64889.644,69556.402,72643.839,71867.685,72880.967,68809.667,75540.877,75856.905,76926.947
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Sonora<C1>,43715.932,44824.691,47102.308,50127.41,51751.286,52380.235,48260.607,51216.969,56824.561,61251.75,61248.763,62427.553,68529.633,75006.222,69702.648,67497.196,67026.273,62576.214,67405.966,70249.48,72531.461
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tabasco<C1>,13286.042,14337.024,15249.155,16037.74,15689.656,15672.209,15934.918,17855.825,19327.813,19918.002,19862.319,20224.294,22077.812,21734.953,20086.843,21388.155,21341.162,20263.667,21405.263,22428.381,23482.51
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tamaulipas<C1>,44419.665,45357.003,48770.351,51283.856,51060.652,50422.683,45460.077,46720.217,50998.393,51431.094,52206.113,52256.728,54154.856,54910.048,57332.108,56087.786,54640.683,50055.714,54220.983,56907.365,58540.61
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Tlaxcala<C1>,5240.536,5422.186,5643.526,6084.016,6707.715,7056.959,6257.016,7446.267,8712.022,8547.792,6546.563,6304.1,6569.043,7064.751,7097.19,7482.705,7384.019,6902.845,7409.575,7715.147,7768.969
