Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,592478.46,607316.5580000001,588558.4520000002,623901.4139999999,651139.0000000001,656325.502,638074.5980000001,653518.474,637703.4950000001,676312.6910000001,696704.589,718687.3940000001,732003.814,753344.6379999999,777962.381,797095.0210000001,799476.8939999996,808429.8800000001,827208.7869999999,840161.193,828041.9160000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,6761.508999999999,6688.17,7137.339,7459.947,7799.6410000000005,8428.549,8083.994,8504.018,9023.803,9554.812,9475.702000000001,10207.219000000001,10636.974999999999,11049.605000000001,11773.626,12196.068,12409.537,12714.026000000002,13055.677,12947.314999999999,12983.94
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,15451.977,17897.244,18277.022,17538.554,16570.119000000002,16201.753000000002,18709.536,18920.28,18312.404,18560.593,20099.693,19265.785,20482.274999999998,19277.96,21009.541,21408.907,21874.792999999998,19920.239999999998,20766.047000000002,23073.243000000002,23595.050000000003
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,4126.691,3825.1180000000004,4459.798000000001,4030.299,4275.192,3995.717,3862.2619999999997,4598.812,4557.858,4861.526000000001,4941.16,5575.65,5874.223,6201.171999999999,6049.484,6351.325,6347.865,6825.902,7604.291,7422.812,7341.275000000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,3334.985,4124.897000000001,4238.9169999999995,4728.508,3522.3680000000004,4092.09,4255.562,4964.887000000001,4552.409000000001,4618.517,4797.827,5384.054,5767.381,6276.866,6263.55,6495.614999999999,6235.737,6444.039,6832.8769999999995,5981.548,6121.068
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,15048.462000000001,15628.884999999998,17451.523,16317.073,16879.549000000003,16562.888,18017.221,18406.247,18793.706000000002,17713.227,17426.372,18748.817,17863.108,16688.639,16818.627,17696.895,18285.791999999998,19015.259,18894.363999999998,19095.323999999997,18623.403000000002
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,7050.439,7328.194,6929.927999999999,7530.338,7665.183,8065.371999999999,6359.863,6663.656,7244.732,6316.76,6295.508,5915.1539999999995,5959.494,6616.223,6886.232999999999,7344.258,7407.79,7629.655,7685.166,8379.885,8231.778
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,24421.907,22016.961000000003,21022.136000000002,21865.555999999997,22643.923,22584.634,22710.904000000002,23813.517999999996,23643.61,23820.112000000005,24499.323,22719.196,22966.983,23352.037,22734.159999999996,23181.939,23614.397,23975.283,24623.253,24708.878000000004,24530.694
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,31665.975,33102.600000000006,34995.748999999996,38473.994999999995,39643.820999999996,38245.513999999996,40051.333,42970.242,44639.657999999996,40383.909,47013.50200000001,49036.028,52035.297,49578.111,55014.863,56419.942,54637.59299999999,52743.528000000006,53036.138000000006,58147.479999999996,58593.007999999994
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,1689.049,1646.5279999999998,1756.055,1600.02,1521.406,1445.547,1531.048,1524.757,1563.1919999999998,1571.8729999999998,1402.003,1394.786,1412.3029999999999,1404.8509999999999,1301.57,1367.925,1404.854,1382.562,1379.428,1343.5910000000001,1261.3210000000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,23867.707000000002,24297.781,20320.877999999997,23408.510000000002,22611.265,22404.576,23601.58,22351.959,20731.678,23594.245,24302.392,24870.858999999997,24183.512,24986.965,25297.303,24770.021999999997,24395.861,24270.862,26908.343,26599.122000000003,25830.7
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,30665.639,32398.41,29075.764999999996,28104.6,30450.066,31777.406000000003,31624.389,32086.337,31506.091,31620.319000000003,34488.91100000001,35004.083999999995,34032.700999999994,34967.756,38585.646,40472.77,40408.145000000004,41037.97900000001,44249.986999999994,43393.45,42296.772000000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,13751.134,12987.35,13453.154999999999,14221.674999999997,14267.295999999998,15010.535,14270.160999999998,15112.159,14839.484999999999,14258.151,13112.848,14486.225999999999,13605.543999999998,15156.898,15455.837999999998,15461.676,15071.909,16404.009000000002,16549.242,16894.097,16188.868999999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,12227.523,12150.619,12052.494999999999,13351.885,12822.901,13213.807,12286.567,12528.195,11138.377,12936.001000000002,13416.87,13155.211000000001,12971.271999999999,12744.778,12540.417000000001,12575.646999999999,12014.702000000001,12052.797999999999,12033.350999999999,11908.746,11632.98
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,63782.62,71754.36099999999,68550.428,73155.353,79127.64299999998,80914.86,70072.893,77001.69600000001,76909.09400000001,84848.15299999999,84764.69300000001,95606.11,92316.199,93843.62700000001,95408.61499999999,98909.24299999999,101276.038,103964.48200000002,102899.84,107268.90400000001,106231.32400000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|México<C1>,25470.07,25401.751,23270.987,25549.927,29246.571999999996,25668.181,22446.701999999997,24313.281,20279.604,23798.288,25176.232,27072.932,27882.388,29983.178,29104.699999999997,26636.125999999997,26463.625999999997,27482.592999999997,27661.671000000002,26201.806,25721.314
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,46765.485,43937.295000000006,43258.88599999999,49203.122,51820.33299999999,55856.985,53469.679000000004,50934.702000000005,56010.862,57754.064000000006,59983.174999999996,65334.331000000006,64777.340000000004,75681.701,81585.50999999998,84100.472,84321.163,83369.026,88494.538,89619.17400000001,96905.507
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Morelos<C1>,6664.486,7107.286,7462.437999999999,7523.191,8018.481000000001,6874.061,7319.420999999999,7538.857,6865.285,6768.673,7856.318,7311.366,6880.919,7487.135,7812.910999999999,8411.033,8521.297,8956.280999999999,9165.165,9135.621,8691.988000000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nayarit<C1>,8486.309,9810.45,9606.887,9579.377999999999,10914.949,11977.435999999998,10744.929,10432.239,11523.203,11933.454000000002,10851.17,9845.298,10029.064999999999,10947.327,11113.242,10841.588,11756.258,12009.31,11801.647,11866.755,10704.270999999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nuevo León<C1>,11260.127,10348.765000000001,9649.533,9426.818,10348.043000000001,9707.646,10150.258,10616.776000000002,9489.092999999999,9890.615,9741.964,9918.297,9215.727,8444.347,8499.742000000002,8533.487000000001,9383.744999999999,9321.439,9069.976999999999,9313.725,9289.034
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Oaxaca<C1>,14957.333,14292.573,13357.899999999998,14633.156,14657.705,14994.696,15799.84,15568.875,15037.116,15740.815999999999,16455.091,15796.989000000001,15602.891999999998,16276.289999999999,16258.727,17238.302,17206.943,18066.56,18761.539,18418.17,18095.419
