Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,6394551.312999997,6638785.308000001,6789769.0249999985,7132703.181000002,7214335.832999996,7153745.822000001,6574555.695999999,6883599.458,7100147.529,7353430.328000001,7314690.186999999,7527294.251000001,7664315.141,7686208.150000002,7734333.207000001,7747139.726999999,7612259.340999999,6939484.904999999,7382228.208999999,7733765.067000002,7996632.341000001
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,62156.622,64701.401999999995,65727.06799999998,74784.626,87437.409,82777.02,77119.82299999999,87799.659,91866.741,98268.49300000002,104485.702,123051.117,130858.77300000002,136157.757,140060.498,145746.503,145072.883,135200.127,135618.398,131271.934,144133.106
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,311294.74900000007,311827.668,315801.615,355225.029,356159.50499999995,338029.739,272822.76800000004,283111.76699999993,281662.19500000007,295701.77400000003,295161.91000000003,316670.964,340383.397,352444.445,369933.22900000005,370144.92900000006,386022.906,369467.22300000006,391197.54999999993,394512.301,413624.08599999995
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,22523.694,25581.923,25118.942,27401.466000000004,30436.068999999996,36117.758,34757.945999999996,32056.806999999997,33690.076,30919.198999999997,29932.539,29065.601,33184.562000000005,33789.643000000004,36212.672999999995,44385.161,36401.66299999999,29796.686,28195.873,28638.885000000002,28716.904000000002
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,901517.0780000001,907722.738,892658.0449999999,863238.679,802200.7370000001,728484.768,658014.561,630598.0590000001,609132.056,586352.572,584412.139,576412.61,582274.0150000001,551016.368,486447.56399999995,456689.619,433352.189,401949.82,382133.115,366280.237,398021.348
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,412189.211,413041.77800000005,416641.75099999993,447679.178,460763.64700000006,443968.8230000001,320100.154,421465.397,453128.613,485350.221,474641.0629999999,503018.02099999995,491406.743,488197.56,516583.73600000003,527845.345,512569.04000000004,439376.153,501698.284,512812.4280000001,489729.5139999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,30373.600000000002,29718.710000000003,27961.731000000003,29688.136000000002,34378.077999999994,35098.225000000006,33782.375,35608.004,40302.725000000006,39760.889,38637.734000000004,38416.145000000004,41352.22,38893.781,43544.356,40351.099,48805.379,42651.893,34586.399,30513.731,33515.914000000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,90579.78,76961.015,77969.98199999999,85496.888,79120.961,89276.12199999999,88054.158,100820.29499999998,99172.73300000001,100760.73999999999,87150.33000000002,92227.71299999999,82691.91,83660.367,75532.04400000001,68547.81999999999,59605.779,60202.642,64058.208,75096.3,73881.35699999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,219683.61700000003,227015.749,229288.524,248671.04499999995,267242,288991.391,252046.11800000002,249756.346,250260.497,287057.105,294812.55399999995,307603.706,338714.47400000005,351305.42500000005,359907.08999999997,351093.17900000006,363947.154,337938.432,356011.832,391961.532,407140.90499999997
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,406599.23899999994,429096.917,443866.943,484766.838,449814.2920000001,431690.77200000006,398584.327,370236.968,379644.23,397241.6379999999,370737.93899999995,362997.27100000007,338779.73199999996,347400.419,337394.5839999999,329643.533,322740.414,283079.93,313042.04,353004.328,351316.336
