Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,9817562.361,10163251.678000001,10383739.582999999,10850881.235,11159521.205,11353745.819999993,10818740.131,11452512.724,11936773.987000002,12368531.184999997,12580301.945,12861800.472,13251074.841,13585744.540000001,13924307.337000003,14329410.797000002,14361696.732,13194944.964000002,13940158.78,14366043.547999999,14858819.987
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,95150.46699999999,97959.37400000001,99294.76099999998,103170.79100000003,107739.791,111043.61099999999,102904.55000000002,108844.23500000002,114238.589,118963.18300000002,121421.69199999998,125980.841,133299.15,139969.67400000003,142317.415,149432.557,151161.33600000004,140892.599,147254.92699999997,151120.661,155458.98700000002
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,309668.11399999994,320194.418,332454.3350000001,344224.133,350963.87,348096.75,323194.21299999993,339420.37000000005,354350.07800000004,365881.733,372233.53599999996,377234.035,384487.258,405064.2640000001,419291.883,432514.1989999999,429393.88399999996,400335.20399999997,428851.83200000005,442450.90300000005,450982.27800000005
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,70519.94,75325.608,81381.394,87836.774,94733.50199999998,93737.877,88176.50200000001,94752.569,99502.35,104125.16299999999,103319.005,105811.58099999999,109168.43199999999,114833.229,119830.22100000002,124661.85400000002,126102.01,108725.92,126213.87399999998,132163.145,134884.758
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,75397.88,79421.26900000001,81552.844,84052.944,84760.19099999999,88382.915,84529.49500000001,87985.16,91405.60100000001,93971.03300000001,97134.473,97812.45,99632.124,94374.10699999999,92790.138,92222.69300000001,92980.61100000002,87012.119,91596.60799999998,91611.165,94099.11200000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,249435.74499999994,259228.64299999995,267280.745,281465.01000000007,289881.714,293397.26,272433.16899999994,291340.41,305061.494,317240.883,321278.911,328414.863,336000.521,342518.29000000004,351654.153,362203.85799999995,364649.12599999993,334433.10699999996,343631.20100000006,344952.68500000006,358764.246
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,64478.53000000001,65704.659,68314.70700000001,72768.729,75150.28600000001,76206.16500000001,73603.684,78724.026,81580.04000000002,85317.43899999998,85022.403,87220.237,89908.98800000001,91317.36600000001,95943.881,102119.36699999998,100923.5,94040.54099999998,100596.71,104069.78,107532.821
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,185090.68000000002,191205.908,197314.34000000003,200214.73099999997,208779.38900000002,211299.63200000004,207891.18999999997,218659.278,226476.54400000002,233623.10299999997,236846.363,247672.088,244860.431,248929.19700000001,247884.856,248489.35999999996,252051.80299999996,241090.17999999996,251937.84399999998,260951.6469999999,266983.42
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,274461.044,282148.46499999997,291906.189,309965.6780000001,318491,326808.208,298437.132,319349.8440000001,331948.71400000004,345410.767,352158.79199999996,356834.30600000004,370136.5909999999,385939.923,391956.446,402008.226,404527.65700000006,378514.90499999997,393882.262,413084.085,423826.672
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,2246852.292,2335636.729,2343510.9449999994,2437763.5150000006,2485724.7449999996,2537200.3,2413134.0530000003,2565097.4209999996,2660364.759,2743597.093,2801421.4439999997,2858080.5000000005,2965319.413,3020869.7029999993,3100160.9919999996,3151668.7630000003,3144630.882,2827790.6960000005,2983417.1219999995,3079889.982,3228764.084
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,115038.347,119245.854,122499.102,126500.362,129035.42900000003,131330.671,126709.961,133690.123,139564.177,145774.38799999998,149175.291,149941.76499999998,151744.821,157359.093,156232.83800000005,158530.97400000005,156912.762,145178.63400000002,152909.44399999996,153598.282,157669.83200000002
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,371131.925,379510.812,385850.78699999995,403859.68999999994,419086.42600000004,428593.2079999999,415254.864,443644.51399999997,465627.793,486718.8939999999,490630.169,497139.83400000003,511616.5150000001,521021.33700000006,546055.1969999999,576831.5929999999,579616.1950000001,536219.968,563083.995,574413.916,590922.7419999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,186019.45499999996,194335.621,196930.755,199338.30299999999,200687.78199999998,200056.89000000004,195761.23099999997,204946.486,208352.81600000002,211263.20600000003,212676.372,218609.47400000005,223772.697,222553.57100000005,223366.56200000003,230282.47000000003,231422.39599999998,209909.85799999995,223912.647,231465.30299999999,235251.38499999995
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,150354.30299999999,153152.366,154957.82099999997,160774.70099999997,164922.742,170264.58899999998,163011.904,173890.64,180810.157,187290.65900000004,192845.56699999992,201210.761,209500.037,218990.338,223264.54999999996,232900.43500000003,231091.13999999998,211501.524,223570.139,234057.813,240436.33299999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,694583.773,716883.1819999999,730771.5959999999,765219.648,789696.2460000002,806750.4930000002,767174.9500000002,814314.44,846858.665,874699.3820000001,892073.4799999999,910826.8620000002,937715.7470000002,981350.3179999999,998666.541,1042080.778,1049824.386,964863.183,1021534.1739999998,1058117.0539999998,1090669.762
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|México<C1>,873963.646,896442.845,925974.6740000001,981448.9190000001,1023646.7900000002,1038852.4420000002,996195.1769999999,1061124.666,1116939.281,1165065.2419999999,1175682.3719999997,1226305.983,1257931.8329999999,1302978.289,1353681.2010000001,1424872.0129999998,1433434.137,1330511.7999999998,1409221.1220000004,1459423.167,1519396.599
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,274693.07300000003,279352.183,288519.47399999993,298322.98399999994,300275.02,305562.29699999996,304446.671,312411.2750000001,322749.1830000001,329922.207,336774.5360000001,350558.186,359773.68999999994,368690.5960000001,381296.701,402644.075,405118.1090000001,376888.81399999995,404074.092,421369.78099999996,433816.8409999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Morelos<C1>,130361.811,133703.504,136431.748,140620.76499999998,141494.70299999998,140441.06399999998,132646.49099999998,137508.58000000002,143709.365,149090.742,154280.17899999997,154627.16199999998,159002.07799999998,163875.75100000002,164568.88700000002,168472.69,168957.442,155213.558,162195.511,163380.08000000002,169791.96899999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nayarit<C1>,75013.395,77567.25099999999,79610.111,83072.95999999999,82598.629,86793.57800000001,84423.87800000001,89458.013,91089.217,90992.28100000002,93708.02400000002,94908.362,98748.238,102039.108,105471.06,108283.39699999998,108461.94599999998,99097.69800000002,105816.25700000001,111849.99700000002,113382.91799999999
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nuevo León<C1>,641929.8739999998,673398.439,689158.3359999999,734675.5110000003,774916.3140000001,787839.2459999999,727138.5169999998,779644.0590000001,816593.6669999999,862375.6530000002,870862.066,895164.5250000003,926942.797,955092.5359999998,993606.344,1018194.789,1023769.0229999999,953891.2649999998,1000821.346,1029005.1569999999,1068263.028
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Oaxaca<C1>,192564.92399999997,201025.26599999997,208991.43100000004,212960.17299999998,213091.51600000006,215789.36000000002,210696.08300000004,212645.24500000002,214337.73100000003,218749.364,220597.12999999995,221956.818,230660.529,230582.57999999996,231916.01099999997,239270.99199999997,239610.556,222923.055,235801.82399999996,247420.25000000003,257894.515
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Puebla<C1>,335471.37700000004,344508.352,348303.3830000001,364106.88399999996,374991.7759999999,376979.669,365204.469,385754.47500000003,406320.959,421104.4679999999,428909.1159999999,432578.502,435729.28599999996,445283.248,455819.409,471668.6290000001,471036.7830000001,436410.049,453272.948,468065.608,484229.52900000004
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Querétaro<C1>,160735.51700000002,170490.67199999996,179915.242,192147.743,205367.13299999997,213876.57800000004,206877.608,222605.22900000002,240918.59,249433.11,256277.617,264764.437,277761.857,284425.093,289894.494,301147.28299999994,300771.965,282088.121,291185.071,295067.0030000001,309277.295
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Quintana Roo<C1>,153235.553,165217.895,167213.795,177637.68199999997,197596.708,207123.36999999997,188456.655,204545.12399999998,215209.06900000005,228300.18999999997,232787.549,238721.97600000002,255570.28100000002,272330.353,290733.55,307225.809,305394.026,239432.20600000003,277757.029,295454.259,288989.301
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,171767.38299999997,178674.58800000002,183964.00599999996,192839.16700000002,199019.19,202264.53600000002,190891.193,203122.03100000002,210858.81100000002,214199.908,221222.204,225085.1,230544.363,233643.83000000002,239540.883,247303.34100000004,246825.62499999997,233388.40800000005,243607.15500000003,245280.49700000003,251315.225
