Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,16804592.134,17409353.544000003,17762067.060000002,18607485.830000002,19024996.038000003,19163817.144000005,18031370.425,18989630.656000003,19674625.010999996,20398274.204,20591696.720999993,21107782.116999995,21647393.796,22025297.327999994,22436602.924999997,22873645.545,22773432.967000004,20942859.749000005,22149595.776000004,22939969.808,23683494.244000003
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,164068.598,169348.946,172159.16799999995,185415.36400000003,202976.84100000001,202249.18,188108.36700000003,205147.912,215129.133,226786.48800000004,235383.096,259239.17700000003,274794.89800000004,287177.0360000001,294151.539,307375.128,308643.75600000005,288806.752,295929.002,295339.91000000003,312576.03300000005
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,636414.8400000001,649919.3300000001,666532.9720000001,716987.716,723693.494,702328.2420000001,614726.517,641452.4169999999,654324.6770000001,680144.1000000001,687495.139,713170.784,745352.9299999999,776786.6690000001,810234.653,824068.0349999999,837291.583,789722.667,840815.429,860036.447,888201.414
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,97170.325,104732.64899999999,110960.13399999999,119268.539,129444.76299999998,133851.35199999998,126796.71,131408.188,137750.284,139905.88799999998,138192.704,140452.832,148227.217,154824.044,162092.37800000003,175398.34000000003,168851.538,145348.508,162014.03799999997,168224.842,170942.937
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,980249.9430000001,991268.904,978449.806,952020.131,890483.2960000001,820959.773,746799.618,723548.1060000001,705090.066,684942.1220000001,686344.439,679609.114,687673.5200000001,651667.341,585501.252,555407.927,532568.537,495405.978,480562.6,463872.95,498241.52800000005
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,676673.418,687899.306,701374.0189999999,745461.261,767524.91,753928.9710000001,610550.544,731212.054,776983.8130000001,820304.331,813346.3459999999,850181.7009999999,845270.372,847404.4890000001,885056.5160000001,907746.098,895503.958,792824.519,864223.849,876860.4370000002,867117.163
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,101902.56900000002,102751.563,103206.36600000001,109987.20300000001,117193.54699999999,119369.76200000002,113745.92199999999,120995.686,129127.49700000003,131395.088,129955.64500000002,131551.536,137220.70200000002,136827.37,146374.47,149814.724,157136.669,144322.08899999998,142868.275,142963.396,149280.513
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,300092.367,290183.88399999996,296306.458,307577.175,310544.27300000004,323160.38800000004,318656.252,343293.09099999996,349292.88700000005,358203.95499999996,348496.01600000006,362618.997,350519.324,355941.601,346151.06,340219.11899999995,335271.97899999993,325268.105,340619.305,360756.82499999995,365395.47099999996
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,525810.636,542266.814,556190.462,597110.718,625376.821,654045.113,590534.583,612076.432,626848.8690000001,672851.781,693984.848,713474.04,760886.362,786823.459,806878.399,809521.3470000001,823112.4040000001,769196.865,802930.232,863193.0970000001,889560.585
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,2655140.58,2766380.1739999996,2789133.9429999995,2924130.3730000006,2937060.443,2970336.619,2813249.4280000003,2936859.1459999997,3041572.181,3142410.604,3173561.3859999995,3222472.5570000005,3305511.4480000003,3369674.9729999993,3438857.1459999997,3482680.2210000004,3468776.1500000004,3112253.1880000005,3297838.5899999994,3434237.9009999996,3581341.741
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,219456.50699999998,230730.462,223588.347,228901.478,236092.08300000004,247816.44300000003,244436.724,250089.498,261466.456,274386.53099999996,287807.18700000003,296126.294,288215.721,292907.00800000003,292563.1780000001,296519.184,296798.28599999996,275074.923,290735.33599999995,287653.265,296762.434
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,666428.157,684184.806,686912.033,722845.4139999999,732028.088,749896.0819999999,717873.102,767214.12,807407.179,845315.342,881862.584,924256.278,965666.898,1001641.27,1051090.219,1057787.437,1037527.5700000001,965356.521,1023753.033,1047060.667,1063957.1009999998
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,240959.14299999995,251374.108,257548.456,264809.513,272497.17799999996,272184.55700000003,268210.76099999994,278208.195,279623.46400000004,282564.292,288145.922,307729.03800000006,302125.63899999997,301753.69000000006,297486.47000000003,305975.99100000004,304988.702,279510.84099999996,291681.667,298311.224,301431.39599999995
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,315268.105,340746.525,336160.75999999995,331750.38,342044.318,352273.26399999997,338096.01,343013.842,351046.52800000005,364216.333,364558.81499999994,382359.659,397386.06700000004,401594.588,399517.299,400585.576,390215.31999999995,347875.318,372735.191,409776.47199999995,420749.583
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,1123087.412,1155705.8699999999,1179123.909,1239683.4190000002,1280271.2910000002,1300984.651,1220828.37,1298494.412,1341965.239,1393050.6600000001,1418910.177,1467870.3820000002,1521437.3340000003,1570626.3879999998,1600921.53,1643838.7030000002,1652081.06,1527589.368,1605307.221,1682440.1519999998,1716471.9670000002
