Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Estados Unidos Mexicanos<C1>",1094725.7809999997,1128153.966,1167183.815,1231318.112,1226031.2459999998,1278244.5540000002,1123812.2500000002,1117820.259,1125335.575,1140752.7950000002,1130864.6759999997,1158660.835,1220760.45,1248193.4370000002,1272504.3889999997,1303024.8339999998,1308297.938,1127075.0229999998,1255235.3269999998,1333412.0079999997,1389790.386
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Aguascalientes<C1>",12508.123,13055.615,13491.374,14902.901,16115.058,16223.767,13852.029,14764.994,15381.265,15971.921,16273.911,18436.081,19702.277,20218.805,20090.84,20551.179,20714.608,18318.931,19304.118,19252.235,21634.714
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Baja California<C1>",46582.088,47349.359,50269.199,55699.092,55073.554,54379.077,44064.195,44613.448,44525.83,46274.006,46258.572,47686.183,49727.817,51905.578,53365.996,54748.833,56654.666,49970.673,55498.13,59196.757,62864.274
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Baja California Sur<C1>",5526.1,5990.708,6748.328,7416.831,8100.492,8232.702,7667.966,7260.644,7206.091,7363.814,7022.986,7160.852,7844.817,8270.604,8692.025,9219.763,9009.212,6582.782,9050.537,9895.488,10212.017
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Campeche<C1>",6627.781,6793.411,7381.489,7620.932,7316.559,7717.395,7109.166,6684.218,6573.125,6319.882,6205.458,6382.911,12637.221,11571.901,10165.708,9183.129,9394.389,5108.748,9041.695,8787.228,10058.76
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Coahuila de Zaragoza<C1>",48948.934,50423.703,49884.264,53087.84,52470.41,53048.083,37244.564,43906.689,47854.654,50330.2,51083.037,52681.54,52431.723,54314.995,56525.247,58308.564,57880.376,50773.052,57363.134,58952.387,62507.416
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Colima<C1>",4337.892,4427.53,4424.897,4856.63,4852.466,5128.244,4726.313,4600.165,4548.662,4204.777,3773.651,3539.189,3808.427,3877.868,3985.626,3993.67,3973.189,3821.184,4799.021,5485.861,5219.672
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Chiapas<C1>",14573.044,13899.48,13987.124,13536.371,14132.259,14000.19,13776.547,12685.766,11977.368,12033.35,12124.961,12072.49,13481.958,13977.686,13583.348,13380.994,13642.413,11972.33,13019.205,13747.81,14829.419
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Chihuahua<C1>",33634.122,35265.97,35970.76,38487.106,38954.242,42668.159,35775.041,35553.514,35193.918,38628.976,38565.755,39720.74,42996.914,43665.05,44405.914,43801.457,43748.895,39514.026,43133.706,48113.221,50702.754
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos|Ciudad de México<C1>",187647.974,195962.04,201941.301,210094.844,205403.358,213092.81,195562.338,188857.545,189868.058,189798.117,189832.939,189637.641,198008.665,201693.215,207461.033,211894.653,211141.196,181602.12,198217.221,216371.471,224741.185
