Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022<R>,2023<P>
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,25870.539,25032.786000000004,24289.015,24682.453999999998,26274.489999999994,25366.316,24668.509000000002,24865.462999999996,24528.42699999999,25275.867999999995,24631.781000000003,24888.151999999995,25496.476,26794.727000000003,28469.784000000003,28604.705999999995,28581.085000000003,30170.589,30209.010999999995,30859.563,31151.159
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Aguascalientes<C1>,33.248,27.893,30.567,36.688,34.796,36.35,25.73,38.986,33.08,36.163,40.225,40.984,41.854,43.745,46.124,49.516,44.772,50.522,51.891,46.874,39.617
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California<C1>,190.397,256.609,162.552,274.054,136.346,345.031,172.616,289.798,548.407,388.374,457.683,500.53,550.608,445.742,470.008,364.838,351.004,406.429,383.06,415.926,401.268
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Baja California Sur<C1>,14.98,11.797,12.27,10.362,11.588,33.418,63.571,8.638,9.936,9.868,13.428,40.628,8.541,299.556,14.197,221.736,220.795,259.154,256.024,283.366,275.984
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Campeche<C1>,210.167,368.172,581.519,471.706,197.065,462.145,218.179,192.163,253.233,130.406,129.475,135.58,323.546,286.935,216.979,174.373,175.505,187.156,193.893,176.815,185.363
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,466.093,639.952,2009.127,473.527,441.132,427.831,809.504,1307.564,746.946,689.389,993.18,1146.893,1098.691,819.26,801.7,1342.413,1347.728,1593.716,1580.443,1575.493,1556.61
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Colima<C1>,30.859,24.082,57.43,23.124,51.294,22.722,43.778,41.399,35.857,23.024,30.137,44.146,31.133,47.009,63.9,44.519,44.005,49.198,48.732,53.253,51.557
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chiapas<C1>,351.871,354.687,309.961,321.6,524.863,581.565,490.199,665.666,559.771,562.862,838.819,661.243,783.929,1088.873,524.247,588.231,581.446,623.96,632.768,659.18,678.283
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Chihuahua<C1>,3338.177,3110.228,4905.804,5223.554,6030.293,5127.645,4170.751,5700.644,4610.687,4547.756,4246.965,4378.267,4606.996,4377.079,6924.118,6866.968,6806.81,6656.379,6714.667,6900.52,7174.35
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Ciudad de México<C1>,141.446,138.638,228.153,27.272,15.108,4.17,6.17,3.133,2.224,2.615,2.052,1.49,2.168,2.724,2.262,2.621,2.295,2.533,2.46,2.432,2.317
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Durango<C1>,4914.168,4907.406,3722.759,3322.674,3709.497,2826.412,3860.346,3069.488,3151.126,3384.421,3617.817,3338.032,2867.64,3694.495,2825.626,2818.316,2812.143,2824.714,2812.379,2856.58,2958.431
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guanajuato<C1>,404.132,378.662,383.537,458.566,370.573,357.769,425.194,358.619,394.381,418.341,505.012,501.399,365.876,374.826,426.063,457.813,476.042,466.035,515.965,483,465.888
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Guerrero<C1>,453.143,488.367,453.766,574.934,577.183,653.658,569.286,524.706,749.541,341.945,384.352,334.229,305.597,413.318,403.621,457.047,453.435,503.086,507.375,672.699,572.29
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Hidalgo<C1>,318.741,302.128,299.889,340.981,391.261,404.929,364.983,311.676,393.264,327.957,394.166,702.582,328.853,306.261,351.894,363.64,358.244,364.16,360.569,391.303,384.076
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Jalisco<C1>,2080.792,2322.044,1031.227,1938.943,1587.347,1681.523,844.43,2074.104,879.891,3650.749,879.114,845.083,1029.867,803.327,886.961,986.468,1000.884,1000.819,1003.175,1067.697,965.34
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|México<C1>,594.65,1272.625,851.1,1408.361,2382.957,850.87,1234.538,1219.77,769.41,1675.841,954.323,1111.464,1582.117,2154.021,2067.796,902.778,865.297,953.903,936.218,925.15,929.083
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,4533.141,3494.326,2979.242,4369.392,4107.556,5197.015,5205.881,3684.32,4389.923,3229.194,4668.951,4403.815,4078.351,5513.183,5691.313,6261.552,6335.246,7371.152,7329.008,7372.172,7313.6
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Morelos<C1>,227.513,630.415,454.396,412.735,316.256,334.088,300.382,352.188,331.689,116.964,375.85,256.269,297.27,144.506,218.165,323.431,333.424,390.716,387.062,386.222,377.699
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nayarit<C1>,68.96,105.734,92.933,103.177,139.206,145.381,87.813,77.546,93.662,90.797,90.47,97.474,80.408,73.817,95.962,100.117,108.812,96.6,96.227,117.198,109.303
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Nuevo León<C1>,240.486,277.937,853.84,237.192,460.555,91.993,118.16,120.464,106.63,120.466,76.795,104.064,106.709,111.568,83.432,148.718,145.603,161.65,159.661,157.761,153.907
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Oaxaca<C1>,815.091,847.606,624.174,661.28,872.857,833.96,746.465,489.724,677.848,778.713,827.938,729.225,747.802,714.091,946.261,1034.304,1032.412,1017.503,1022.052,1035.832,1115.364
