PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Tema,Total de egresos,748829114,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Capítulo,Servicios personales,77297423,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Concepto,Remuneraciones al personal,27983239,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Partida Genérica,Dependencias diversas,27983239,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Concepto,Remuneraciones adicionales y especiales,49314184,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,49314184,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Capítulo,Materiales y suministros,17139530,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Concepto,Materiales y suministros diversos,17139530,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Capítulo,Servicios generales,13063077,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Concepto,Servicios de arrendamiento,659736,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Partida Genérica,Otros arrendamientos,659736,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Concepto,Servicios de comunicación social y publicidad,5675824,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Partida Genérica,Otros servicios de información,5675824,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Concepto,Otros servicios generales,6727517,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Partida Genérica,Otros servicios generales,6727517,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Capítulo,"Transferencias, asignaciones, subsidios y otras ayudas",458807687,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Concepto,Transferencias internas y asignaciones al sector público,458228577,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Partida Genérica,A poderes,17649294,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,1993,01,Egresos,Subpartida Genérica,Legislativo,8043767,Cifras Definitivas
